Identificador de URL,Nombre,Categorías,Nombre de propiedad 1,Valor de propiedad 1,Nombre de propiedad 2,Valor de propiedad 2,Nombre de propiedad 3,Valor de propiedad 3,Precio sin descuento,Precio promocional por tiempo limitado y en 6 cuotas sin interes,Precio promocional con medio de pago transferencia
escalera-ambar,Escalera Ambar,Decoración del Hogar,,,,,,,"78.300,00",66555,43065
80-off-en-la-segunda-banqueta,80% off en la segunda banqueta,"Sillones y sillas > Sillas y Banquetas, Flash Sale",,,,,,,"390.630,00","332035,5","214846,5"
dos-banquetas-olivia-una-mesa-ana,Dos Banquetas Olivia+ Una mesa Ana,"Sillones y sillas, Flash Sale",,,,,,,"580.800,00",493680,319440
isadora-nido,Isadora + Nido,"Mesas > Ratonas, Camastros, Flash Sale",,,,,,,"1.220.000,00",1037000,671000
zapatero-perchero,Zapatero + Perchero,"Decoración del Hogar, Flash Sale",,,,,,,"95.040,00",80784,52272
gervasoni-con-juego-de-mesas-nido,Gervasoni con Juego de mesas NIDO,,Color,Negro,,,,,"1.187.300,00",1009205,653015
gervasoni-con-juego-de-mesas-nido,,,Color,Blanco,,,,,"1.187.300,00",1009205,653015
gervasoni-con-juego-de-mesas-nido,,,Color,Verde,,,,,"1.305.600,00",1109760,718080
camastro-leonor-con-mesa-brisa,Camastro Leonor con Mesa Brisa,"Sillones y sillas, Mesas, Flash Sale",Color,Negro,Tamaño,150 cm con mesa 100x50,,,"980.000,00",833000,539000
camastro-leonor-con-mesa-brisa,,,Color,Negro,Tamaño,180 cm con mesa 100x50,,,"1.029.600,00",875160,566280
camastro-leonor-con-mesa-brisa,,,Color,Blanco,Tamaño,150 cm con mesa 100x50,,,"980.000,00",833000,539000
camastro-leonor-con-mesa-brisa,,,Color,Blanco,Tamaño,180 cm con mesa 100x50,,,"1.029.600,00",875160,566280
camastro-leonor-con-mesa-brisa,,,Color,Verde,Tamaño,150 cm con mesa 100x50,,,"1.078.000,00",916300,592900
camastro-leonor-con-mesa-brisa,,,Color,Verde,Tamaño,180 cm con mesa 100x50,,,"1.132.560,00",962676,622908
camastro-leonor-con-mesa-brisa,,,Color,Oxido,Tamaño,150 cm con mesa 100x50,,,"980.000,00",833000,539000
camastro-leonor-con-mesa-brisa,,,Color,Oxido,Tamaño,180 cm con mesa 100x50,,,"1.029.600,00",875160,566280
juego-mesa-y-sillas-bali,Juego Mesa y Sillas Bali,"Sillones y sillas > Sillas y Banquetas, Mesas > Comedor / Galería",Tamaño de Mesa,160 cm,,,,,"1.669.000,00",1418650,917950
juego-mesa-y-sillas-bali,,,Tamaño de Mesa,180 cm,,,,,"1.790.800,00",1522180,984940
mesa-bali,Mesa bali,Mesas > Comedor / Galería,Tamaño,160 cm,,,,,"609.000,00",517650,334950
mesa-bali,,,Tamaño,180 cm,,,,,"730.800,00",621180,401940
set-sillon-bali,Set Sillon Bali,Sillones y sillas > Sillas y Banquetas,,,,,,,"578.000,00",491300,317900
set-sillas-bali,Set sillas Bali,Sillones y sillas > Sillas y Banquetas,,,,,,,"1.060.000,00",901000,583000
zapatero-cata,Zapatero Cata,Flash Sale,Color,Negro,,,,,"56.700,00",48195,31185
perchero-cata-5-agarres,Perchero cata 5 agarres,,Color,Negro,,,,,"38.500,00",32725,21175
fogonero-con-media-parrilla,Fogonero con media parrilla,"Fogoneros, Flash Sale",Tamaño,60 cm de diametro,Modelo,Perickle,Color,Negro,"454.000,00",385900,249700
fogonero-con-media-parrilla,,,Tamaño,60 cm de diametro,Modelo,Perickle,Color,Oxido,"454.000,00",385900,249700
fogonero-con-media-parrilla,,,Tamaño,60 cm de diametro,Modelo,Efesto,Color,Negro,"379.000,00",322150,208450
fogonero-con-media-parrilla,,,Tamaño,60 cm de diametro,Modelo,Efesto,Color,Oxido,"379.000,00",322150,208450
fogonero-con-media-parrilla,,,Tamaño,80 cm de diametro,Modelo,Perickle,Color,Negro,"620.400,00",527340,341220
fogonero-con-media-parrilla,,,Tamaño,80 cm de diametro,Modelo,Perickle,Color,Oxido,"620.400,00",527340,341220
fogonero-con-media-parrilla,,,Tamaño,80 cm de diametro,Modelo,Efesto,Color,Negro,"580.300,00",493255,319165
